,Z,count,mean,std,min,25%,50%,75%,max,truePercRelErr
0,3.0,198.0,2.8969302324696957,0.007609861091529773,2.835732698,2.897871733,2.897871733,2.897871733,2.897871733,-3.4356589176768093
1,3.5,195.0,3.0890996460000006,4.452322985102534e-16,3.089099646,3.089099646,3.089099646,3.089099646,3.089099646,-11.740010114285695
2,4.0,186.0,3.9161112310000004,4.452878333792106e-16,3.916111231,3.916111231,3.916111231,3.916111231,3.916111231,-2.097219224999991
3,4.0,204.0,3.732218461647059,0.023202302344962452,3.725697994,3.725697994,3.725697994,3.725697994,3.814376354,-6.694538458823529
4,4.0,205.0,3.7631929509999984,0.020419909720166343,3.759088039,3.759088039,3.759088039,3.759088039,3.864276409,-5.92017622500004
5,4.5,235.0,4.049924361834043,0.26640188100308443,3.84505868,3.84505868,3.84505868,4.391592503,4.459683418,-10.001680848132386
6,5.0,182.0,4.299489246714287,0.34747805195046194,4.127418995,4.127418995,4.127418995,4.127418995,4.997329712,-14.010215065714265
7,5.0,190.0,3.392433427905262,0.36776962016983505,3.171324492,3.171324492,3.171324492,4.005531788,4.005531788,-32.15133144189476
8,5.0,210.0,4.997329712000001,8.903007128566045e-16,4.997329712,4.997329712,4.997329712,4.997329712,4.997329712,-0.05340575999998265
9,5.5,195.0,5.573944569,0.0,5.573944569,5.573944569,5.573944569,5.573944569,5.573944569,1.3444467090909094
10,6.0,192.0,5.393763228479166,0.8350928005367817,3.312649012,4.451466084,6.038440228,6.038440228,6.038440228,-10.103946192013897
11,6.0,207.0,4.199535134869564,0.11956813499651552,4.191224575,4.191224575,4.191224575,4.191224575,5.911510468,-30.007747752173923
12,6.0,105.0,5.9882575448571425,0.2940162381713437,4.282046318,6.038440228,6.038440228,6.038440228,6.038440228,-0.1957075857142924
13,6.5,30.0,4.549729347,0.0,4.549729347,4.549729347,4.549729347,4.549729347,4.549729347,-30.004163892307684
14,7.0,217.0,4.648039786894009,0.3730400091705434,4.590882778,4.590882778,4.590882778,4.590882778,7.071496964,-33.599431615799865
15,7.0,30.0,6.9010744090000005,9.033620566533923e-16,6.901074409,6.901074409,6.901074409,6.901074409,6.901074409,-1.4132227285714218
16,7.0,239.0,6.904599667,0.0,6.904599667,6.904599667,6.904599667,6.904599667,6.904599667,-1.3628618999999962
17,7.0,217.0,6.675129728230415,0.921694138573197,4.541741371,7.071496964,7.071496964,7.071496964,7.071496964,-4.6410038824226465
18,7.0,8.0,6.3024189472500005,1.1230072542152452,4.482939243,6.30241894725,6.908912182,6.908912182,6.908912182,-9.965443610714278
19,7.5,28.0,7.627503394999999,9.044766308671292e-16,7.627503395,7.627503395,7.627503395,7.627503395,7.627503395,1.7000452666666512
